#{"t_start": 1667833079.959336, "env_id": "abc-asic-v0"}
r,l,t,nd,lev,seq
0.23314,39,2212.733236,14268.8046875,1562.4249267578125,dc2; rs -K 8 -l; b -l; rf -l; rwz; rf -l; rf -l; rf -l; rwz; rwz; rwz; rf -l; rwz; rwz -l; rwz -l; rfz -l; rf; rwz -l; rwz; ifraig; rwz; rf -l; rwz; rwz; ifraig; rf -l; dc2; dc2; rf -l; rs -K 8; b -l; rwz -l; ifraig; rfz; dc2; rwz; rf -l; rf -l; rwz -l
0.305414,39,2270.245709,13598.357421875,1484.9442138671875,dc2; rf -l; rwz; rfz -l; b -l; dc2; dc2; rf -l; rfz; rf -l; rwz; rs -K 8; rfz -l; rwz; rs -K 8; rfz -l; rf; rfz -l; dc2; rs -K 8; rfz -l; dc2; rwz; b; rfz -l; rf -l; rs -K 8; b; rwz -l; map_mst; rw; ifraig; rf; rs -K 8; dc2; rf; rs -K 8; rs -K 8; rwz -l
0.202443,39,2315.044194,14045.322265625,1650.8245849609375,rs -K 8; dc2; rf; rs -K 8; rwz -l; rw -l; ifraig; dc2; dc2; dc2; rf; rfz -l; rs -K 8; b -l; &ifK3a_ifK3g; rs -K 8; rf -l; rf -l; rfz; &ifK3a_ifK3g; rwz; rwz; rf -l; rwz; rwz -l; rwz; map_mst; ifraig; rf -l; rs -K 8 -l; dc2; rs -K 8; rf -l; b -l; rwz -l; rf; rf; b; rwz
0.35745,39,2361.336221,13887.625,1345.084716796875,rf -l; dc2; rfz -l; b; rfz -l; dc2; dc2; dc2; rfz -l; dc2; b; rw -l; b; rf; rf -l; b; rf -l; rwz -l; rwz -l; rfz; dc2; dc2; rs -K 8; b; b; b; rs -K 8; rfz -l; rfz -l; b -l; rwz -l; map_mst; ifraig; rf; ifraig; rfz; rf -l; rfz; b
0.356275,39,2406.207546,14209.318359375,1317.0374755859375,rfz -l; dc2; rs -K 8; rfz -l; rfz -l; dc2; dc2; b; rwz -l; rf; ifraig; dc2; dc2; rf -l; rf -l; rfz; rwz; rwz; rwz; rf -l; b -l; dc2; dc2; ifraig; dc2; dc2; dc2; rf -l; rwz -l; rfz -l; rf -l; rfz; rf -l; rfz; &ifK3a_ifK3g; ifraig; rwz; rf; dc2
0.324233,39,2457.153832,13966.70703125,1406.6107177734375,dc2; dc2; dc2; rs -K 8; dc2; b; dc2; rf -l; rfz; rwz; rf -l; rwz; rs -K 8; rf -l; rwz -l; rfz -l; rfz -l; map_mst; rs -K 8 -l; ifraig; b -l; rwz; rwz; rf -l; rwz -l; rwz -l; rfz; ifraig; dc2; rwz; rwz; rs -K 8; b; rwz -l; rs -K 8; ifraig; b -l; rf; rf -l
0.237817,39,2498.84025,14381.2451171875,1540.7547607421875,dc2; dc2; dc2; rs -K 8; rf -l; &ifK3a_ifK3g; rwz; rwz; rf -l; rf -l; rwz -l; b -l; &ifK3a_ifK3g; dc2; b; dc2; rs -K 8; rwz; b; rwz -l; rfz -l; rf -l; rw -l; rfz -l; rfz -l; dc2; rfz -l; rfz -l; rf; rfz -l; dc2; rs -K 8; ifraig; dc2; dc2; rwz -l; ifraig; rwz; rwz
0.329348,39,2541.366402,13891.357421875,1403.5350341796875,b -l; dc2; b -l; b -l; rs -K 8; rf -l; rwz; rf -l; rwz; rs -K 8; rfz; rf; dc2; dc2; dc2; rs -K 8; rf -l; b; rf -l; rwz -l; map_mst; rwz -l; rfz -l; rs -K 8 -l; b -l; rf -l; rwz; rf -l; ifraig; rwz; rwz -l; rfz; rwz; rfz -l; rfz -l; ifraig; rf; dc2; rf -l
0.275542,39,2584.495094,13418.732421875,1569.539306640625,rf -l; dc2; dc2; dc2; dc2; dc2; dc2; rs -K 8; dc2; rs -K 8; &ifK3a_ifK3g; rfz; &ifK3a_ifK3g; rwz; b; rs -K 8; ifraig; dc2; dc2; dc2; rs -K 8; dc2; b; rfz -l; rs -K 8; rfz; b -l; rf -l; ifraig; rwz -l; rfz; &ifK3a_ifK3g; rfz; rwz; rwz; b; b; rfz; rwz -l
0.310939,39,2626.837164,14201.853515625,1410.53271484375,rs -K 8; b -l; dc2; b -l; rf -l; rfz; dc2; rfz; dc2; rf -l; rwz; rf -l; rf -l; rfz; rfz; rfz; rwz; rwz; dc2; b -l; b -l; rf -l; rwz -l; rf; dc2; rs -K 8; rs -K 8; rwz -l; rf; rfz -l; rfz -l; dc2; rf -l; rwz -l; rfz; b -l; rfz -l; rfz; ifraig
